port_name,latitude,longitude
Port of Chu Lai,15.4,108.7
Port of Da Nang,16.0666666666667,108.216666666667
Port of Ho Chi Minh City,10.7666666666667,106.666666666667
Port of Nghi Son,19.3333333333333,105.833333333333
Port of Qui Nhon,13.7666666666667,109.216666666667
Port of Vung Tau,10.35,107.066666666667
Port of Vele Futuna I. Apt,-14.3166666666667,-178.083333333333
Port of Longoni,-12.7166666666667,45.1666666666667
Port of Cape Town,-33.9166666666667,18.4166666666667
Port of Coega,-33.7666666666667,25.6666666666667
Port of Durban,-29.85,31.0166666666667
Port of Ajman,25.40177,55.47878
Port of Jebel Ali,25.00255,55.10811
Port of Anguilla,18.17648,-63.09375
Port of Durres,41.32355,19.45469
Port of Durres,41.32355,19.45469
Port of Cabinda,-5.55,12.2
Port of Lobito,-12.3644,13.53601
Port of Luanda,-8.83682,13.23432
Port of Malongo,-5.39640648185245,12.1980217978395
Port of Namibe,-15.19611,12.15222
Port of Soyo,-6.1349,12.36894
Port of Bell Bay,-41.13,146.87
Port of Burnie,-41.05584,145.90375
Port of Cairns,-16.92366,145.76613
Port of Dampier,-20.66275,116.71256
Port of Devonport,-41.17695,146.35152
Port of Fremantle,-32.05632,115.74557
Port of Geelong,-38.14711,144.36069
Port of Newcastle,-32.92953,151.7801
Port of Port Botany,-33.97447,151.22277
Port of Port Kembla,-34.4818,150.9012
Port of Townsville,-19.26639,146.80569
Port of Weipa,-12.62346,141.87883
Port of Oranjestad,12.52398,-70.02703
Port of Bridgetown,13.10732,-59.62021
Port of Mongla,22.47223,89.61095
Port of Burgas,42.50606,27.46781
Port of Varna,43.21667,27.91667
Port of Cotonou,6.36536,2.41833
Port of Hamilton,32.2949,-64.78303
Port of Fortaleza,-3.71722,-38.54306
Port of Ilheus,-14.79364,-39.03949
Port of Imbituba,-28.24,-48.67028
Port of Itajai,-26.90778,-48.66194
Port of Manaus,-3.10194,-60.025
Port of Natal,-5.795,-35.20944
Port of Rio Grande,-22.90642,-43.18223
Port of Salvador,-12.97111,-38.51083
Port of Suape,-12.74083,-38.62083
Port of Belize City,17.49952,-88.19756
Port of Halifax,44.6464,-63.57291
Port of Montreal,45.50884,-73.58781
Port of New Westminster,49.20678,-122.91092
Port of Prince Rupert,54.31507,-130.32098
Port of Squamish,50.11817,-122.95396
Port of Toronto,43.70011,-79.4163
Port of Vancouver,49.24966,-123.11934
Port of Aitutaki,-18.85195,-159.79293
Port of Rarotonga,-21.2075,-159.77545
Port of Douala,4.04827,9.70428
Port of Kribi,2.93725,9.90765
Port of Barranquilla,10.96854,-74.78132
Port of Buenaventura,3.8801,-77.03116
Port of Cartagena,10.39972,-75.51444
Port of Santa Marta,11.24079,-74.19904
Port of Moa,20.65776,-74.95075
Port of Santiago de Cuba,20.02083,-75.82667
